umap_1,umap_2,ZIP_Code,cluster,risk_tier
2.9060073,0.26552707,90045,34,Risk Tier 11
7.590012,1.0609185,90046,23,Risk Tier 32
1.3525211,1.3115442,90047,-1,Outlier/Anomalous
6.533059,0.6371995,90048,22,Risk Tier 29
7.7778096,1.2409024,90049,23,Risk Tier 32
4.914986,-0.31967536,90056,28,Risk Tier 17
2.0813515,1.6343881,90057,32,Urban Low-Risk
2.3754802,0.22206159,90058,34,Risk Tier 11
1.1475673,0.20797653,90059,21,Wildland-Urban Interface High-Risk
1.0098726,0.60656905,90061,-1,Outlier/Anomalous
2.1872506,0.421613,90062,-1,Outlier/Anomalous
1.2221339,0.0020054635,90063,21,Wildland-Urban Interface High-Risk
4.9169946,-0.32455876,90064,28,Risk Tier 17
4.3289223,1.0694404,90065,30,Risk Tier 28
3.123369,0.15472543,90066,34,Risk Tier 11
7.7743893,1.2533398,90067,23,Risk Tier 32
7.482507,1.0046315,90068,22,Risk Tier 29
7.7514896,1.2813898,90069,23,Risk Tier 32
7.44625,1.6878136,90071,23,Risk Tier 32
7.824157,1.1782848,90077,23,Risk Tier 32
4.184047,0.076295786,90094,-1,Outlier/Anomalous
1.201445,-0.102789775,90201,21,Wildland-Urban Interface High-Risk
7.784063,1.1910664,90210,23,Risk Tier 32
6.7088737,0.7920425,90211,22,Risk Tier 29
7.143709,1.2317189,90212,22,Risk Tier 29
1.2144164,0.19438364,90220,21,Wildland-Urban Interface High-Risk
1.0837297,0.62209064,90221,-1,Outlier/Anomalous
0.6996875,1.1021688,90222,32,Urban Low-Risk
1.9914215,1.5851676,90230,32,Urban Low-Risk
3.2807426,-0.014147556,90232,34,Risk Tier 11
2.1009471,0.93624794,90240,33,Risk Tier 6
1.7035639,1.0749947,90241,33,Risk Tier 6
0.6110222,1.1103246,90242,32,Urban Low-Risk
3.3484752,0.4141229,90245,34,Risk Tier 11
0.70306855,1.2861592,90247,32,Urban Low-Risk
0.7613849,1.1632421,90248,32,Urban Low-Risk
0.83418685,1.5969033,90249,32,Urban Low-Risk
0.62192947,1.1978487,90250,32,Urban Low-Risk
4.6908865,0.029560912,90254,-1,Outlier/Anomalous
1.2342418,-0.10572528,90255,21,Wildland-Urban Interface High-Risk
0.7131357,1.4987302,90260,32,Urban Low-Risk
0.8771298,0.26313576,90262,21,Wildland-Urban Interface High-Risk
7.792155,1.3544879,90264,23,Risk Tier 32
7.7503963,1.2292153,90265,23,Risk Tier 32
5.9579663,0.23414108,90266,29,Risk Tier 25
1.3082569,-0.05123297,90270,21,Wildland-Urban Interface High-Risk
7.7818675,1.2498342,90272,23,Risk Tier 32
6.426345,0.47665828,90274,-1,Outlier/Anomalous
4.350613,0.083319984,90275,-1,Outlier/Anomalous
3.5798278,0.36036485,90277,34,Risk Tier 11
2.5401888,0.32677475,90278,34,Risk Tier 11
0.99865025,0.06255023,90280,21,Wildland-Urban Interface High-Risk
9.117816,-0.38873506,90290,6,Risk Tier 46
5.09716,-0.28320533,90291,28,Risk Tier 17
7.1811986,1.2500284,90292,22,Risk Tier 29
5.5101075,-0.035548605,90293,29,Risk Tier 25
1.2665035,0.1313208,90301,21,Wildland-Urban Interface High-Risk
1.6906798,0.7702863,90302,33,Risk Tier 6
1.5542173,0.7921012,90303,33,Risk Tier 6
0.6970269,1.2715977,90304,32,Urban Low-Risk
2.3199081,0.91005343,90305,33,Risk Tier 6
7.1123004,1.2057574,90401,-1,Outlier/Anomalous
7.745485,1.2752589,90402,23,Risk Tier 32
6.1394634,0.34634057,90403,29,Risk Tier 25
3.4999728,-0.164189,90404,34,Risk Tier 11
4.3613076,-0.12553924,90405,28,Risk Tier 17
1.9985707,0.12590022,90501,33,Risk Tier 6
0.75304645,1.5483321,90502,32,Urban Low-Risk
2.4588382,0.24349359,90503,34,Risk Tier 11
1.2105168,0.16818257,90504,21,Wildland-Urban Interface High-Risk
2.6042917,0.23743108,90505,34,Risk Tier 11
4.052508,0.96092284,90601,30,Risk Tier 28
3.8636594,1.0201297,90602,30,Risk Tier 28
3.7249224,1.0498261,90603,30,Risk Tier 28
0.7086314,0.94067156,90604,32,Urban Low-Risk
1.9719187,0.30659956,90605,33,Risk Tier 6
0.67972094,0.74735284,90606,32,Urban Low-Risk
0.7474679,0.9981914,90620,32,Urban Low-Risk
2.0518346,0.94384515,90621,33,Risk Tier 6
1.4664943,1.4361795,90623,32,Urban Low-Risk
1.8088454,0.9803598,90630,33,Risk Tier 6
3.815926,1.0044042,90631,30,Risk Tier 28
1.6180289,1.0812685,90638,33,Risk Tier 6
1.4073122,0.340756,90640,21,Wildland-Urban Interface High-Risk
0.6292598,1.3686959,90650,32,Urban Low-Risk
1.0850967,-0.011436568,90660,21,Wildland-Urban Interface High-Risk
0.72457224,1.4783418,90670,32,Urban Low-Risk
0.55849856,1.0820237,90680,32,Urban Low-Risk
1.0561284,1.7285299,90701,32,Urban Low-Risk
1.5148323,1.6261493,90703,32,Urban Low-Risk
9.144281,-0.40735656,90704,6,Risk Tier 46
0.6583374,1.1453983,90706,32,Urban Low-Risk
1.8390096,0.5773788,90710,33,Risk Tier 6
1.0275961,0.004462722,90712,21,Wildland-Urban Interface High-Risk
1.3003632,-0.05912825,90713,21,Wildland-Urban Interface High-Risk
0.63866425,1.390323,90715,32,Urban Low-Risk
0.5180127,1.0700134,90716,32,Urban Low-Risk
2.3773558,0.20992354,90717,34,Risk Tier 11
3.2058299,0.22398344,90720,34,Risk Tier 11
1.0989103,-0.057234813,90723,21,Wildland-Urban Interface High-Risk
2.1621768,0.72307706,90731,33,Risk Tier 6
2.709711,0.2680603,90732,34,Risk Tier 11
3.3230135,0.3921931,90740,34,Risk Tier 11
5.914037,0.30985782,90742,29,Risk Tier 25
5.4246373,0.07148844,90743,29,Risk Tier 25
1.1428537,0.2451917,90744,21,Wildland-Urban Interface High-Risk
0.868471,1.6257818,90745,32,Urban Low-Risk
2.048194,1.5918137,90746,32,Urban Low-Risk
2.4088178,0.88271207,90755,33,Risk Tier 6
1.2313175,0.5395101,90802,21,Wildland-Urban Interface High-Risk
3.7047358,0.2804585,90803,34,Risk Tier 11
0.9524293,0.2556952,90804,21,Wildland-Urban Interface High-Risk
0.5646823,1.0435727,90805,32,Urban Low-Risk
0.65374976,0.75243175,90806,32,Urban Low-Risk
2.0755174,0.28495473,90807,33,Risk Tier 6
1.9170113,0.056106936,90808,-1,Outlier/Anomalous
0.5953886,0.87845045,90810,32,Urban Low-Risk
0.68338174,1.4082358,90813,32,Urban Low-Risk
2.6470346,0.26119196,90814,34,Risk Tier 11
2.3150146,0.17451207,90815,34,Risk Tier 11
4.3693957,0.76038176,91001,30,Risk Tier 28
3.9420447,0.315208,91006,34,Risk Tier 11
3.9547007,0.12509361,91007,34,Risk Tier 11
7.7337074,1.1231084,91008,23,Risk Tier 32
3.2744846,0.91248953,91010,-1,Outlier/Anomalous
6.9492774,0.6401157,91011,22,Risk Tier 29
4.0393896,0.7213634,91016,30,Risk Tier 28
2.4705923,0.26466808,91020,34,Risk Tier 11
4.58099,0.77380276,91024,30,Risk Tier 28
4.5196834,0.8477155,91030,30,Risk Tier 28
4.2790794,0.8224796,91040,30,Risk Tier 28
3.9129093,1.0147072,91042,30,Risk Tier 28
3.0717733,0.4089941,91101,-1,Outlier/Anomalous
4.4582076,0.65349096,91103,30,Risk Tier 28
2.4888844,0.32196873,91104,34,Risk Tier 11
6.983729,0.58999574,91105,22,Risk Tier 29
5.92777,0.2305618,91106,29,Risk Tier 25
4.092693,0.68989843,91107,30,Risk Tier 28
5.584353,-0.009661664,91108,29,Risk Tier 25
3.2711349,0.13166863,91201,34,Risk Tier 11
3.8647404,0.1403614,91202,34,Risk Tier 11
1.127153,1.7904598,91203,32,Urban Low-Risk
1.4022523,1.0502325,91204,-1,Outlier/Anomalous
1.601977,0.6099002,91205,33,Risk Tier 6
4.850529,0.93291813,91206,30,Risk Tier 28
5.451873,0.1248003,91207,29,Risk Tier 25
4.7883096,0.94474477,91208,30,Risk Tier 28
4.7638617,4.375985,91210,-1,Outlier/Anomalous
3.7203445,0.90156823,91214,30,Risk Tier 28
5.016744,0.25703612,91301,-1,Outlier/Anomalous
7.600473,1.1668975,91302,23,Risk Tier 32
1.9813052,1.5958102,91303,32,Urban Low-Risk
3.9056454,-0.34259084,91304,34,Risk Tier 11
2.0779939,1.6156155,91306,32,Urban Low-Risk
4.8151426,0.11462418,91307,-1,Outlier/Anomalous
5.228441,-0.13998412,91311,28,Risk Tier 17
6.747396,0.73494816,91316,22,Risk Tier 29
4.4058294,0.73162824,91320,30,Risk Tier 28
4.5221004,0.7313552,91321,30,Risk Tier 28
3.772743,-0.30199596,91324,34,Risk Tier 11
4.440386,-0.2548626,91325,28,Risk Tier 17
5.160714,0.012112719,91326,-1,Outlier/Anomalous
1.1669965,1.5533253,91331,32,Urban Low-Risk
1.9597808,1.6147075,91335,32,Urban Low-Risk
1.1084143,1.4319713,91340,32,Urban Low-Risk
2.7629323,0.71816665,91342,-1,Outlier/Anomalous
3.2246714,0.024985604,91343,34,Risk Tier 11
3.8317976,-0.3109194,91344,34,Risk Tier 11
1.746121,1.5945288,91345,32,Urban Low-Risk
4.2956443,0.79652256,91350,30,Risk Tier 28
3.8914208,0.97112596,91351,30,Risk Tier 28
2.525891,0.8468351,91352,33,Risk Tier 6
3.8366027,0.7925688,91354,30,Risk Tier 28
3.3962264,0.036911998,91355,34,Risk Tier 11
6.8914595,0.8037886,91356,22,Risk Tier 29
3.827698,0.9742894,91360,30,Risk Tier 28
6.903298,0.59628314,91361,22,Risk Tier 29
5.085266,0.19598617,91362,-1,Outlier/Anomalous
5.476545,0.07806478,91364,29,Risk Tier 25
4.7788224,-0.3611489,91367,28,Risk Tier 17
5.0233297,0.24217518,91377,-1,Outlier/Anomalous
5.8173647,4.3106046,91380,3,Risk Tier 18
5.6984315,0.28349152,91381,29,Risk Tier 25
4.5684643,0.9845803,91384,30,Risk Tier 28
4.809658,0.91039234,91387,30,Risk Tier 28
4.7715983,0.91562635,91390,30,Risk Tier 28
3.7741961,-0.3119979,91401,34,Risk Tier 11
1.3219585,1.7347515,91402,32,Urban Low-Risk
6.86616,0.59659356,91403,22,Risk Tier 29
1.9506233,1.6119637,91405,32,Urban Low-Risk
1.9936752,1.6242428,91406,32,Urban Low-Risk
2.405589,0.7973306,91411,33,Risk Tier 6
6.7945857,0.6468002,91423,22,Risk Tier 29
7.208561,1.0258292,91436,22,Risk Tier 29
4.0966763,0.5405409,91501,30,Risk Tier 28
1.4032402,1.6805761,91502,32,Urban Low-Risk
3.859139,0.6725226,91504,30,Risk Tier 28
2.0250874,0.74052805,91505,33,Risk Tier 6
2.121247,0.6294551,91506,-1,Outlier/Anomalous
2.441049,0.7959112,91601,33,Risk Tier 6
6.7001286,0.77789605,91602,22,Risk Tier 29
7.012699,0.7024248,91604,22,Risk Tier 29
1.9484757,1.0246645,91605,33,Risk Tier 6
1.8785238,1.1153373,91606,33,Risk Tier 6
4.399917,-0.28302702,91607,28,Risk Tier 17
2.4848213,0.83968335,91701,33,Risk Tier 6
1.5777198,0.2938287,91702,-1,Outlier/Anomalous
1.0203269,0.027102297,91706,21,Wildland-Urban Interface High-Risk
2.4182093,0.23934534,91708,34,Risk Tier 11
3.8203876,0.7772379,91709,30,Risk Tier 28
1.8074694,1.1242656,91710,33,Risk Tier 6
3.8696551,0.49861547,91711,-1,Outlier/Anomalous
5.4213433,4.423705,91719,3,Risk Tier 18
5.405695,4.463549,91720,3,Risk Tier 18
0.7557144,0.7912936,91722,32,Urban Low-Risk
1.9157497,0.335893,91723,33,Risk Tier 6
3.8176403,0.93944436,91724,30,Risk Tier 28
1.5971615,1.180227,91730,33,Risk Tier 6
0.8912679,0.27767324,91731,21,Wildland-Urban Interface High-Risk
0.6237013,0.9480767,91732,32,Urban Low-Risk
0.60971916,0.813111,91733,32,Urban Low-Risk
4.314299,-0.42412025,91737,28,Risk Tier 17
3.5977442,-0.22381286,91739,34,Risk Tier 11
2.0455189,0.13300957,91740,33,Risk Tier 6
4.278048,0.67381,91741,30,Risk Tier 28
1.2388456,1.4409356,91744,32,Urban Low-Risk
3.7350624,1.0246059,91745,30,Risk Tier 28
1.0623643,1.6546824,91746,32,Urban Low-Risk
2.4821937,0.8253934,91748,33,Risk Tier 6
4.0587664,0.7909028,91750,30,Risk Tier 28
2.3348053,0.89100367,91752,33,Risk Tier 6
1.2449354,0.21169761,91754,21,Wildland-Urban Interface High-Risk
1.2322278,0.04250182,91755,21,Wildland-Urban Interface High-Risk
17.38852,4.28229,91759,45,Risk Tier 45
5.509804,4.3829484,91760,3,Risk Tier 18
1.2193398,1.3120683,91761,32,Urban Low-Risk
1.2537924,0.38796481,91762,21,Wildland-Urban Interface High-Risk
0.95803505,1.6780049,91763,32,Urban Low-Risk
1.0190662,1.7358874,91764,32,Urban Low-Risk
4.4931936,0.73705184,91765,30,Risk Tier 28
1.7934917,1.0443332,91766,33,Risk Tier 6
0.85944295,1.0912942,91767,32,Urban Low-Risk
1.3736053,0.28142208,91768,21,Wildland-Urban Interface High-Risk
1.0397787,0.19886874,91770,21,Wildland-Urban Interface High-Risk
4.3765535,0.9727283,91773,30,Risk Tier 28
1.7366006,0.61031866,91775,33,Risk Tier 6
0.9998154,0.11556091,91776,21,Wildland-Urban Interface High-Risk
1.2767472,0.31022158,91780,21,Wildland-Urban Interface High-Risk
3.5459461,-0.0006838382,91784,34,Risk Tier 11
4.762698,4.4267573,91786,-1,Outlier/Anomalous
3.897259,0.6520323,91789,30,Risk Tier 28
1.3141434,0.5049252,91790,21,Wildland-Urban Interface High-Risk
4.0748672,0.98604494,91791,30,Risk Tier 28
1.4388214,1.3916893,91792,32,Urban Low-Risk
5.3819923,4.423868,91793,3,Risk Tier 18
1.2995654,-0.020489939,91801,21,Wildland-Urban Interface High-Risk
1.3967254,-0.08019745,91803,21,Wildland-Urban Interface High-Risk
8.194917,-2.376704,91901,9,Risk Tier 43
7.271054,-3.4671235,91902,14,Risk Tier 33
7.8038826,-2.854676,91905,14,Risk Tier 33
7.9904165,-2.630872,91906,9,Risk Tier 43
7.405618,-4.441386,91910,13,Risk Tier 23
7.7209635,-4.8810816,91911,13,Risk Tier 23
7.435878,-4.508211,91913,13,Risk Tier 23
6.9614005,-3.546129,91914,-1,Outlier/Anomalous
7.358587,-4.3491273,91915,13,Risk Tier 23
8.229538,-2.3500288,91916,9,Risk Tier 43
7.840991,-2.8103104,91917,14,Risk Tier 33
7.763849,-2.9227679,91931,14,Risk Tier 33
7.73278,-4.8973446,91932,13,Risk Tier 23
7.0669904,-4.0961747,91934,13,Risk Tier 23
8.170926,-2.3936214,91935,9,Risk Tier 43
7.257517,-3.8936887,91941,14,Risk Tier 33
7.6084876,-4.768513,91942,13,Risk Tier 23
7.785002,-4.9590254,91945,13,Risk Tier 23
8.481558,-1.9570496,91948,-1,Outlier/Anomalous
7.771687,-4.9380326,91950,13,Risk Tier 23
8.20191,-2.3725152,91962,9,Risk Tier 43
7.7843833,-2.885103,91963,14,Risk Tier 33
7.4951687,-4.5833755,91977,13,Risk Tier 23
7.458985,-3.325278,91978,14,Risk Tier 33
7.812229,-2.8498569,91980,14,Risk Tier 33
7.5109653,-3.0632799,92003,14,Risk Tier 33
5.528411,4.7006392,92004,3,Risk Tier 18
7.2739344,-4.1333823,92007,13,Risk Tier 23
7.2792315,-4.1596956,92008,13,Risk Tier 23
7.155776,-3.3091445,92009,14,Risk Tier 33
7.21747,-3.8216314,92010,14,Risk Tier 33
7.2791324,-3.5021162,92011,14,Risk Tier 33
6.933921,0.48911378,92014,22,Risk Tier 29
7.380935,-3.4590275,92019,14,Risk Tier 33
7.326927,-4.1650667,92020,13,Risk Tier 23
7.3285756,-3.7165966,92021,14,Risk Tier 33
7.1011095,-3.439886,92024,14,Risk Tier 33
7.234251,-3.643876,92025,14,Risk Tier 33
7.399519,-3.4984453,92026,14,Risk Tier 33
7.221877,-4.1062207,92027,13,Risk Tier 23
7.5272303,-3.2110877,92028,14,Risk Tier 33
7.660702,-3.0351644,92029,14,Risk Tier 33
8.300118,-2.2321033,92036,9,Risk Tier 43
6.9387755,0.67866373,92037,22,Risk Tier 29
9.140226,-0.41580275,92038,6,Risk Tier 46
7.4222937,-3.444306,92040,14,Risk Tier 33
5.8196177,4.363949,92052,3,Risk Tier 18
7.5243564,-4.5208354,92054,13,Risk Tier 23
7.4484496,-4.5049887,92056,13,Risk Tier 23
7.416818,-4.417528,92057,13,Risk Tier 23
7.4726315,-4.58989,92058,13,Risk Tier 23
9.113052,-0.42883694,92059,6,Risk Tier 46
9.130068,-0.47105297,92060,6,Risk Tier 46
7.4395394,-3.1325257,92061,14,Risk Tier 33
7.284296,-3.2340214,92064,14,Risk Tier 33
7.59319,-3.133921,92065,14,Risk Tier 33
7.59287,-3.1241038,92066,14,Risk Tier 33
7.803923,1.2176518,92067,23,Risk Tier 32
7.2760544,-4.1427627,92069,13,Risk Tier 23
7.1336207,0.7036673,92070,22,Risk Tier 29
6.5338545,-4.041799,92071,-1,Outlier/Anomalous
6.937717,-3.4731362,92075,-1,Outlier/Anomalous
7.4036474,-3.3841712,92078,14,Risk Tier 33
7.322989,-4.2702656,92081,13,Risk Tier 23
8.034182,-2.5685387,92082,9,Risk Tier 43
7.740656,-4.904444,92083,13,Risk Tier 23
7.363932,-3.6259353,92084,14,Risk Tier 33
8.166686,-2.4111667,92086,9,Risk Tier 43
5.6786547,4.385544,92088,3,Risk Tier 18
7.1905575,0.8762964,92091,22,Risk Tier 29
7.3857956,-4.4269795,92101,13,Risk Tier 23
7.793074,-4.971284,92102,13,Risk Tier 23
7.3161325,-3.6308098,92103,14,Risk Tier 33
7.49689,-4.6384144,92104,13,Risk Tier 23
7.8204365,-4.9949055,92105,13,Risk Tier 23
7.2174563,-4.115856,92106,13,Risk Tier 23
7.5057616,-4.5994034,92107,13,Risk Tier 23
6.4707093,-4.01791,92108,-1,Outlier/Anomalous
7.385457,-4.3664365,92109,13,Risk Tier 23
7.279671,-4.3696814,92110,13,Risk Tier 23
7.4311533,-4.5759673,92111,13,Risk Tier 23
7.806801,-4.986918,92113,13,Risk Tier 23
7.776484,-4.9429183,92114,13,Risk Tier 23
7.4762273,-4.6128435,92115,13,Risk Tier 23
7.0939703,-4.071538,92116,13,Risk Tier 23
7.1779065,-4.3260293,92117,13,Risk Tier 23
6.796414,-3.4633656,92118,-1,Outlier/Anomalous
7.17146,-4.313364,92119,13,Risk Tier 23
7.247095,-3.7738578,92120,14,Risk Tier 33
7.6536183,-3.0578485,92121,14,Risk Tier 33
7.2791,-3.6816146,92122,14,Risk Tier 33
7.356948,-4.5403256,92123,13,Risk Tier 23
7.4621143,-3.388358,92124,14,Risk Tier 33
7.4514008,-4.525892,92126,13,Risk Tier 23
7.2611923,-3.325843,92127,14,Risk Tier 33
7.2861214,-3.7293794,92128,14,Risk Tier 33
7.339157,-3.5792243,92129,14,Risk Tier 33
7.074773,-3.2833405,92130,-1,Outlier/Anomalous
7.597344,-3.1004305,92131,14,Risk Tier 33
7.7878933,-4.9618864,92139,13,Risk Tier 23
7.4961987,-4.611288,92154,13,Risk Tier 23
7.667091,-4.8128257,92173,13,Risk Tier 23
5.1486077,-4.4469857,92201,20,Risk Tier 13
5.306615,-4.443122,92203,20,Risk Tier 13
7.0871553,1.03314,92210,22,Risk Tier 29
5.5197835,-4.3448415,92211,20,Risk Tier 13
5.9885836,-4.4569726,92220,19,Risk Tier 27
5.9877234,-4.473083,92223,19,Risk Tier 27
5.8038754,-3.0141792,92225,10,Risk Tier 21
5.5700736,4.8517613,92227,3,Risk Tier 18
6.1992106,-4.5986066,92230,19,Risk Tier 27
5.568581,4.838763,92231,3,Risk Tier 18
5.5393963,4.868735,92233,3,Risk Tier 18
5.220416,-4.516389,92234,20,Risk Tier 13
4.9563737,-4.47975,92236,20,Risk Tier 13
6.184693,-4.6421065,92239,19,Risk Tier 27
4.92391,-4.519062,92240,20,Risk Tier 13
5.219437,-4.4713955,92241,20,Risk Tier 13
5.813057,-3.0599937,92242,10,Risk Tier 21
5.5903406,4.813283,92243,3,Risk Tier 18
5.52153,4.881984,92249,3,Risk Tier 18
5.590226,4.795651,92250,3,Risk Tier 18
5.554243,4.855321,92251,3,Risk Tier 18
6.3649426,-4.168034,92252,-1,Outlier/Anomalous
6.657413,-3.633457,92253,-1,Outlier/Anomalous
5.0229154,-4.4344482,92254,20,Risk Tier 13
5.6053395,4.2526135,92255,3,Risk Tier 18
6.4626884,-4.235845,92256,-1,Outlier/Anomalous
4.9624906,0.33493635,92257,-1,Outlier/Anomalous
5.1476946,-4.440028,92258,20,Risk Tier 13
6.1108527,-3.8092191,92259,-1,Outlier/Anomalous
6.709102,-3.5932395,92260,-1,Outlier/Anomalous
5.8711967,-4.2368507,92262,-1,Outlier/Anomalous
6.7366257,-3.557682,92264,-1,Outlier/Anomalous
5.6046643,-4.3653054,92266,-1,Outlier/Anomalous
5.692091,4.6652317,92267,3,Risk Tier 18
7.523774,-3.190581,92268,14,Risk Tier 33
6.757362,-3.460635,92270,-1,Outlier/Anomalous
4.9638557,-4.479336,92273,20,Risk Tier 13
5.243217,-4.4446993,92274,20,Risk Tier 13
5.5552797,4.8164887,92275,3,Risk Tier 18
4.9884706,-4.5469494,92276,20,Risk Tier 13
6.0625515,-4.041906,92277,-1,Outlier/Anomalous
5.7028213,4.459737,92278,3,Risk Tier 18
5.7831097,-2.8274524,92280,10,Risk Tier 21
5.516071,4.900344,92281,3,Risk Tier 18
6.2045193,-4.4170284,92282,19,Risk Tier 27
5.482941,-4.54567,92283,-1,Outlier/Anomalous
6.253184,-4.2720537,92284,-1,Outlier/Anomalous
6.1404347,-3.7395673,92285,-1,Outlier/Anomalous
5.979663,-5.7887444,92301,15,Risk Tier 16
8.482576,-1.9772053,92305,-1,Outlier/Anomalous
6.120932,-5.05508,92307,-1,Outlier/Anomalous
6.1258836,-5.0295615,92308,-1,Outlier/Anomalous
5.7868357,-2.908117,92309,10,Risk Tier 21
5.938688,-3.4464874,92311,10,Risk Tier 21
5.9929543,-5.7515874,92313,15,Risk Tier 16
8.268266,-2.2845025,92314,9,Risk Tier 43
8.28186,-2.2595391,92315,9,Risk Tier 43
5.902003,-5.9227686,92316,15,Risk Tier 16
9.130022,-0.49175495,92317,6,Risk Tier 46
5.813441,-3.013743,92318,10,Risk Tier 21
6.0582547,-4.436956,92320,19,Risk Tier 27
9.076856,-0.5704252,92321,6,Risk Tier 46
9.077521,-0.5771686,92322,6,Risk Tier 46
5.9826503,-5.708304,92324,15,Risk Tier 16
8.22136,-2.325651,92325,9,Risk Tier 43
8.082619,-2.3797278,92326,9,Risk Tier 43
5.8156095,-3.0077145,92327,10,Risk Tier 21
5.5739317,4.7385054,92329,3,Risk Tier 18
5.570277,4.7691307,92332,3,Risk Tier 18
8.441282,-2.026134,92333,9,Risk Tier 43
5.4183903,4.490545,92334,3,Risk Tier 18
5.942196,-5.9173384,92335,15,Risk Tier 16
5.9670863,-5.800931,92336,15,Risk Tier 16
5.9717736,-5.784857,92337,15,Risk Tier 16
5.639128,4.3365407,92338,3,Risk Tier 18
8.301068,-2.249811,92339,9,Risk Tier 43
8.3101015,-2.2639751,92341,9,Risk Tier 43
6.0068483,-5.7308474,92342,15,Risk Tier 16
6.1162186,-5.1166496,92344,-1,Outlier/Anomalous
6.131704,-5.0711064,92345,-1,Outlier/Anomalous
6.078954,-5.304902,92346,-1,Outlier/Anomalous
5.7730174,-2.8322673,92347,10,Risk Tier 21
5.6986384,4.49079,92349,3,Risk Tier 18
9.087905,-0.55203813,92352,6,Risk Tier 46
6.033315,-5.6831236,92354,15,Risk Tier 16
6.0187984,-3.5713725,92356,-1,Outlier/Anomalous
9.128465,-0.47714514,92358,6,Risk Tier 46
6.130961,-5.0872946,92359,-1,Outlier/Anomalous
5.926614,-5.883433,92363,15,Risk Tier 16
5.854365,-3.140359,92365,10,Risk Tier 21
5.7780256,4.502702,92366,3,Risk Tier 18
6.065576,-3.76336,92368,-1,Outlier/Anomalous
6.122227,-4.8454576,92371,-1,Outlier/Anomalous
6.1431537,-4.7841578,92372,19,Risk Tier 27
6.11189,-4.7931223,92373,-1,Outlier/Anomalous
5.96718,-5.799384,92374,15,Risk Tier 16
7.417592,1.7996306,92375,23,Risk Tier 32
5.921658,-5.9423857,92376,15,Risk Tier 16
5.972946,-5.7760963,92377,15,Risk Tier 16
9.103003,-0.52344936,92378,6,Risk Tier 46
9.10597,-0.5338348,92382,6,Risk Tier 46
5.7705455,-2.803051,92384,10,Risk Tier 21
9.060059,-0.60463285,92385,6,Risk Tier 46
8.190452,-2.382622,92386,9,Risk Tier 43
5.769557,-2.8502667,92389,10,Risk Tier 21
9.036618,-0.6770434,92391,6,Risk Tier 46
6.0171037,-5.7214565,92392,15,Risk Tier 16
6.0629067,-5.4032207,92393,-1,Outlier/Anomalous
6.0087185,-5.765448,92394,15,Risk Tier 16
6.011717,-5.646152,92395,15,Risk Tier 16
8.500073,-1.9701953,92397,-1,Outlier/Anomalous
5.9508386,-3.4147465,92398,-1,Outlier/Anomalous
6.1174893,-4.8224893,92399,-1,Outlier/Anomalous
5.574334,4.8205304,92401,3,Risk Tier 18
5.878703,-5.9742312,92404,15,Risk Tier 16
5.94413,-5.9042964,92405,15,Risk Tier 16
6.1259494,-5.1406164,92407,-1,Outlier/Anomalous
5.9099226,-5.946423,92408,15,Risk Tier 16
